Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
                0.00    0.00   32400/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:363 @ e7af) [3100]
                0.00    0.00   32400/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:364 @ e7c4) [3103]
                0.00    0.00   57600/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ef26) [2650]
                0.00    0.00   57600/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ f094) [2653]
                0.00    0.00   58320/6953040     u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:408 @ e96e) [3202]
                0.00    0.00   64800/6953040     BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f527) [1595]
                0.00    0.00  291600/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:352 @ e63e) [3064]
                0.00    0.00  576000/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10e6f) [1619]
                0.00    0.00  576000/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10f03) [1623]
                0.00    0.00 2592000/6953040     BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f685) [212]
                0.00    0.00 2592000/6953040     BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f868) [213]
[1375]   0.0    0.00    0.00 6953040         CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:49 @ ab30) [1375]
-----------------------------------------------
                0.00    0.00     720/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ed50) [2648]
                0.00    0.00     720/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ee1a) [2649]
                0.00    0.00    6480/6953040     u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:416 @ ea8c) [3229]
                0.00    0.00   14400/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10d18) [1616]
                0.00    0.00   32400/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:361 @ e75d) [3092]
                0.00    0.00   32400/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:362 @ e773) [3095]
                0.00    0.00   57600/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ef26) [2650]
                0.00    0.00   57600/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ f094) [2653]
                0.00    0.00   58320/6953040     u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:407 @ e920) [3195]
                0.00    0.00   64800/6953040     AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ fd68) [1575]
                0.00    0.00  291600/6953040     V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:351 @ e5f0) [3057]
                0.00    0.00  576000/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10e6f) [1619]
                0.00    0.00  576000/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10f03) [1623]
                0.00    0.00 2592000/6953040     AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ 1030e) [1577]
                0.00    0.00 2592000/6953040     AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ 10345) [170]
[1376]   0.0    0.00    0.00 6953040         SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:69 @ b570) [1376]
-----------------------------------------------
                0.00    0.00   64800/2656800     BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f527) [1595]
                0.00    0.00 2592000/2656800     BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f685) [212]
[1377]   0.0    0.00    0.00 2656800         dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:124 @ cd50) [1377]
-----------------------------------------------
                0.00    0.00   64800/2656800     AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ fd68) [1575]
                0.00    0.00 2592000/2656800     AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ 10345) [170]
[1378]   0.0    0.00    0.00 2656800         dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:101 @ c3f0) [1378]
-----------------------------------------------
                0.00    0.00  588960/1177920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ c4dc) [5170]
                0.00    0.00  588960/1177920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:18 @ c4e1) [5171]
[1379]   0.0    0.00    0.00 1177920         dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:96 @ c0e0) [1379]
-----------------------------------------------
                0.00    0.00    1440/233280      verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ed50) [2648]
                0.00    0.00    1440/233280      verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ee1a) [2649]
                0.00    0.00  115200/233280      verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ef26) [2650]
                0.00    0.00  115200/233280      verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ f094) [2653]
[1380]   0.0    0.00    0.00  233280         ddversch(double, double) (problem_definition.cpp:31 @ 11d40) [1380]
-----------------------------------------------
                0.00    0.00     400/100400      alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9429 @ 360ee) [52632]
                0.00    0.00     720/100400      alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9381 @ 35e07) [52584]
                0.00    0.00    2880/100400      alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31389 @ 75d0f) [47513]
                0.00    0.00    2880/100400      alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31234 @ 75da0) [47525]
                0.00    0.00    2880/100400      alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31293 @ 7631b) [47634]
                0.00    0.00    3200/100400      alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12765 @ 5a21b) [42725]
                0.00    0.00    5120/100400      alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31262 @ 760a5) [47593]
                0.00    0.00    5760/100400      alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30672 @ 84568) [49039]
                0.00    0.00    5760/100400      alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23414 @ b6c28) [14098]
                0.00    0.00    6480/100400      alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28129 @ c3360) [7739]
                0.00    0.00    7200/100400      alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30676 @ 84503) [49033]
                0.00    0.00    9600/100400      alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12755 @ 5a1ee) [42723]
                0.00    0.00   11520/100400      alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9765 @ 6a45f) [33982]
                0.00    0.00   36000/100400      alglib_impl::xdot(alglib_impl::ae_vector*, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, double*, double*, alglib_impl::ae_state*) (alglibinternal.cpp:12501 @ 6f88e) [37580]
[1381]   0.0    0.00    0.00  100400         alglib_impl::ae_fabs(double, alglib_impl::ae_state*) (ap.cpp:2458 @ 17ca0) [1381]
-----------------------------------------------
                0.00    0.00    3200/99200       alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12725 @ 5a088) [42689]
                0.00    0.00   96000/99200       alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12746 @ 5a166) [42708]
[1382]   0.0    0.00    0.00   99200         alglib_impl::ae_trunc(double, alglib_impl::ae_state*) (ap.cpp:2490 @ 17d60) [1382]
-----------------------------------------------
                0.00    0.00      80/97040       alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23420 @ b747c) [14178]
                0.00    0.00      80/97040       alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28132 @ c33b3) [7746]
                0.00    0.00      80/97040       alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28141 @ c33f3) [7748]
                0.00    0.00     160/97040       alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30866 @ 84c1f) [49125]
                0.00    0.00     640/97040       alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23420 @ b6cd8) [14103]
                0.00    0.00   96000/97040       alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12747 @ 5a17f) [42711]
[1383]   0.0    0.00    0.00   97040         alglib_impl::ae_fp_neq(double, double) (ap.cpp:2259 @ 178c0) [1383]
-----------------------------------------------
                0.00    0.00     720/82400       alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9382 @ 35e19) [52585]
                0.00    0.00    3200/82400       alglib_impl::xblas_xsum(alglib_impl::ae_vector*, double, long, double*, double*, alglib_impl::ae_state*) [clone .part.3] (alglibinternal.cpp:12765 @ 5a21b) [42725]
                0.00    0.00    5760/82400       alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30672 @ 84585) [49041]
                0.00    0.00    6480/82400       alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28129 @ c3375) [7741]
                0.00    0.00    7200/82400       alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30676 @ 84503) [49033]
                0.00    0.00   11520/82400       alglib_impl::safesolve_cbasicsolveandupdate(alglib_impl::ae_complex, alglib_impl::ae_complex, double, double, double, double*, alglib_impl::ae_complex*, alglib_impl::ae_state*) (alglibinternal.cpp:10377 @ 54f50) [49431]
                0.00    0.00   11520/82400       alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9765 @ 6a45f) [33982]
